,country,date,UNEMP_rate
415,FRA,1986-04-01,10.46667
416,GBR,1986-04-01,11.3
417,ITA,1986-04-01,8.766666
418,JPN,1986-04-01,2.766667
419,USA,1986-04-01,7.166667
420,CAN,1986-07-01,9.566667
421,FRA,1986-07-01,10.63333
422,GBR,1986-07-01,11.3
423,ITA,1986-07-01,9.0
424,JPN,1986-07-01,2.833333
425,USA,1986-07-01,6.966667
426,CAN,1986-10-01,9.433333
427,FRA,1986-10-01,10.83333
428,GBR,1986-10-01,11.2
429,ITA,1986-10-01,9.133333
430,JPN,1986-10-01,2.8
431,USA,1986-10-01,6.833333
432,CAN,1987-01-01,9.466666
433,FRA,1987-01-01,10.8
434,GBR,1987-01-01,11.0
435,ITA,1987-01-01,9.266666
436,JPN,1987-01-01,2.933333
437,USA,1987-01-01,6.6
438,CAN,1987-04-01,9.0
439,FRA,1987-04-01,10.66667
440,GBR,1987-04-01,10.6
441,ITA,1987-04-01,9.666667
442,JPN,1987-04-01,3.0
443,USA,1987-04-01,6.266667
444,CAN,1987-07-01,8.566667
445,FRA,1987-07-01,10.56667
446,GBR,1987-07-01,10.1
447,ITA,1987-07-01,9.8
448,JPN,1987-07-01,2.766667
449,USA,1987-07-01,6.0
450,CAN,1987-10-01,8.166667
451,FRA,1987-10-01,10.5
452,GBR,1987-10-01,9.6
453,ITA,1987-10-01,9.733334
454,JPN,1987-10-01,2.7
455,USA,1987-10-01,5.833333
456,CAN,1988-01-01,7.9
457,FRA,1988-01-01,10.26667
458,GBR,1988-01-01,9.1
459,ITA,1988-01-01,9.7
460,JPN,1988-01-01,2.666667
461,USA,1988-01-01,5.7
462,CAN,1988-04-01,7.7
463,FRA,1988-04-01,10.13333
464,GBR,1988-04-01,8.7
465,ITA,1988-04-01,9.633333
466,JPN,1988-04-01,2.466667
467,USA,1988-04-01,5.466667
468,CAN,1988-07-01,7.8
469,FRA,1988-07-01,10.0
470,GBR,1988-07-01,8.3
471,ITA,1988-07-01,9.6
472,JPN,1988-07-01,2.533333
473,USA,1988-07-01,5.466667
474,CAN,1988-10-01,7.7
475,FRA,1988-10-01,9.9
476,GBR,1988-10-01,7.9
477,ITA,1988-10-01,9.8
478,JPN,1988-10-01,2.4
479,USA,1988-10-01,5.333333
480,CAN,1989-01-01,7.533333
481,FRA,1989-01-01,9.733334
482,GBR,1989-01-01,7.5
483,ITA,1989-01-01,9.8
484,JPN,1989-01-01,2.333333
485,USA,1989-01-01,5.2
486,CAN,1989-04-01,7.666667
487,FRA,1989-04-01,9.666667
488,GBR,1989-04-01,7.1
489,ITA,1989-04-01,9.8
490,JPN,1989-04-01,2.3
491,USA,1989-04-01,5.233333
492,CAN,1989-07-01,7.366667
493,FRA,1989-07-01,9.6
494,GBR,1989-07-01,7.0
495,ITA,1989-07-01,9.7
496,JPN,1989-07-01,2.2
497,USA,1989-07-01,5.233333
498,CAN,1989-10-01,7.466667
499,FRA,1989-10-01,9.6
500,GBR,1989-10-01,6.8
501,ITA,1989-10-01,9.366667
502,JPN,1989-10-01,2.166667
503,USA,1989-10-01,5.366667
504,CAN,1990-01-01,7.633333
505,FRA,1990-01-01,9.5
506,GBR,1990-01-01,6.8
507,ITA,1990-01-01,9.0
508,JPN,1990-01-01,2.133333
509,KOR,1990-01-01,2.433333
510,USA,1990-01-01,5.3
511,CAN,1990-04-01,7.666667
512,FRA,1990-04-01,9.4
513,GBR,1990-04-01,6.7
514,ITA,1990-04-01,8.9
515,JPN,1990-04-01,2.133333
516,KOR,1990-04-01,2.3
517,USA,1990-04-01,5.333333
518,CAN,1990-07-01,8.166667
519,FRA,1990-07-01,9.3
520,GBR,1990-07-01,6.8
521,ITA,1990-07-01,8.8
522,JPN,1990-07-01,2.066667
523,KOR,1990-07-01,2.533333
524,USA,1990-07-01,5.7
525,CAN,1990-10-01,9.133333
526,FRA,1990-10-01,9.3
527,GBR,1990-10-01,7.1
528,ITA,1990-10-01,8.733334
529,JPN,1990-10-01,2.066667
530,KOR,1990-10-01,2.566667
531,USA,1990-10-01,6.133333
532,CAN,1991-01-01,10.16667
533,DEU,1991-01-01,5.233333
534,FRA,1991-01-01,9.266666
535,GBR,1991-01-01,7.7
536,ITA,1991-01-01,8.633333
537,JPN,1991-01-01,2.1
538,KOR,1991-01-01,2.5
539,USA,1991-01-01,6.6
540,CAN,1991-04-01,10.33333
541,DEU,1991-04-01,5.333333
542,FRA,1991-04-01,9.433333
543,GBR,1991-04-01,8.5
544,ITA,1991-04-01,8.466666
545,JPN,1991-04-01,2.1
546,KOR,1991-04-01,2.3
547,USA,1991-04-01,6.833333
548,CAN,1991-07-01,10.43333
549,DEU,1991-07-01,5.6
550,FRA,1991-07-01,9.7
551,GBR,1991-07-01,9.0
552,ITA,1991-07-01,8.433333
553,JPN,1991-07-01,2.1
554,KOR,1991-07-01,2.4
555,USA,1991-07-01,6.866667
556,CAN,1991-10-01,10.33333
557,DEU,1991-10-01,5.9
558,FRA,1991-10-01,10.0
559,GBR,1991-10-01,9.1
560,ITA,1991-10-01,8.6
561,JPN,1991-10-01,2.066667
562,KOR,1991-10-01,2.466667
563,USA,1991-10-01,7.1
564,CAN,1992-01-01,10.6
565,DEU,1992-01-01,6.1
566,FRA,1992-01-01,10.26667
567,GBR,1992-01-01,9.3
568,ITA,1992-01-01,8.666667
569,JPN,1992-01-01,2.066667
570,KOR,1992-01-01,2.4
571,USA,1992-01-01,7.366667
572,CAN,1992-04-01,11.0
573,DEU,1992-04-01,6.4
574,FRA,1992-04-01,10.5
575,GBR,1992-04-01,9.8
576,ITA,1992-04-01,8.666667
577,JPN,1992-04-01,2.1
578,KOR,1992-04-01,2.433333
579,USA,1992-04-01,7.6
580,CAN,1992-07-01,11.53333
581,DEU,1992-07-01,6.766667
582,FRA,1992-07-01,10.8
583,GBR,1992-07-01,9.9
584,ITA,1992-07-01,9.0
585,JPN,1992-07-01,2.166667
586,KOR,1992-07-01,2.566667
587,USA,1992-07-01,7.633333
588,CAN,1992-10-01,11.73333
589,DEU,1992-10-01,7.1
590,FRA,1992-10-01,11.0
591,GBR,1992-10-01,10.4
592,ITA,1992-10-01,8.9
593,JPN,1992-10-01,2.266667
594,KOR,1992-10-01,2.6
595,USA,1992-10-01,7.366667
596,CAN,1993-01-01,11.13333
597,DEU,1993-01-01,7.4
598,FRA,1993-01-01,11.3
599,GBR,1993-01-01,10.6
600,ITA,1993-01-01,9.133333
601,JPN,1993-01-01,2.3
602,KOR,1993-01-01,2.833333
603,USA,1993-01-01,7.133333
604,CAN,1993-04-01,11.63333
605,DEU,1993-04-01,7.6
606,FRA,1993-04-01,11.7
607,GBR,1993-04-01,10.4
608,ITA,1993-04-01,9.8
609,JPN,1993-04-01,2.433333
610,KOR,1993-04-01,3.0
611,USA,1993-04-01,7.066667
612,CAN,1993-07-01,11.43333
613,DEU,1993-07-01,7.9
614,FRA,1993-07-01,12.03333
615,GBR,1993-07-01,10.2
616,ITA,1993-07-01,9.966666
617,JPN,1993-07-01,2.533333
618,KOR,1993-07-01,2.9
619,USA,1993-07-01,6.8
620,CAN,1993-10-01,11.3
621,DEU,1993-10-01,8.2
622,FRA,1993-10-01,12.36667
623,GBR,1993-10-01,10.3
624,ITA,1993-10-01,10.43333
625,JPN,1993-10-01,2.733333
626,KOR,1993-10-01,2.833333
627,USA,1993-10-01,6.633333
628,CAN,1994-01-01,11.03333
629,DEU,1994-01-01,8.466666
630,FRA,1994-01-01,12.5
631,GBR,1994-01-01,9.9
632,ITA,1994-01-01,10.43333
633,JPN,1994-01-01,2.866667
634,KOR,1994-01-01,2.7
635,USA,1994-01-01,6.566667
636,CAN,1994-04-01,10.63333
637,DEU,1994-04-01,8.533334
638,FRA,1994-04-01,12.4
639,GBR,1994-04-01,9.7
640,ITA,1994-04-01,10.56667
641,JPN,1994-04-01,2.8
642,KOR,1994-04-01,2.533333
643,USA,1994-04-01,6.2
644,CAN,1994-07-01,10.13333
645,DEU,1994-07-01,8.433333
646,FRA,1994-07-01,12.2
647,GBR,1994-07-01,9.4
648,ITA,1994-07-01,10.4
649,JPN,1994-07-01,2.966667
650,KOR,1994-07-01,2.433333
651,USA,1994-07-01,6.0
652,CAN,1994-10-01,9.766666
653,DEU,1994-10-01,8.266666
654,FRA,1994-10-01,12.0
655,GBR,1994-10-01,9.0
656,ITA,1994-10-01,11.13333
657,JPN,1994-10-01,2.933333
658,KOR,1994-10-01,2.233333
659,USA,1994-10-01,5.633333
660,CAN,1995-01-01,9.633333
661,DEU,1995-01-01,8.133333
662,FRA,1995-01-01,11.8
663,GBR,1995-01-01,8.9
664,ITA,1995-01-01,11.23333
665,JPN,1995-01-01,3.033333
666,KOR,1995-01-01,2.133333
667,USA,1995-01-01,5.466667
668,CAN,1995-04-01,9.5
669,DEU,1995-04-01,8.1
670,FRA,1995-04-01,11.86667
671,GBR,1995-04-01,8.7
672,ITA,1995-04-01,11.1
673,JPN,1995-04-01,3.066667
674,KOR,1995-04-01,2.033333
675,USA,1995-04-01,5.666667
676,CAN,1995-07-01,9.433333
677,DEU,1995-07-01,8.266666
678,FRA,1995-07-01,12.0
679,GBR,1995-07-01,8.6
680,ITA,1995-07-01,11.16667
681,JPN,1995-07-01,3.166667
682,KOR,1995-07-01,2.1
683,USA,1995-07-01,5.666667
684,CAN,1995-10-01,9.3
685,DEU,1995-10-01,8.433333
686,FRA,1995-10-01,12.16667
687,GBR,1995-10-01,8.3
688,ITA,1995-10-01,11.1
689,JPN,1995-10-01,3.333333
690,KOR,1995-10-01,2.033333
691,USA,1995-10-01,5.566667
692,CAN,1996-01-01,9.5
